iter	Passed	Remaining
456	828	984
457	830	982
458	831	979
459	832	977
460	834	975
461	836	973
462	837	971
463	838	968
464	839	966
465	841	964
466	842	961
467	843	958
468	844	956
469	845	953
470	847	952
471	849	950
472	850	947
473	851	945
474	854	944
475	855	941
476	856	939
477	858	937
478	859	934
479	860	932
480	861	929
481	862	927
482	864	925
483	865	922
484	866	920
485	867	917
486	868	914
487	872	915
488	874	913
489	878	914
490	880	912
491	884	913
492	886	912
493	888	910
494	890	908
495	893	907
496	894	904
497	895	902
498	896	899
499	898	898
500	899	895
501	900	893
502	901	890
503	902	887
504	903	885
505	904	882
506	905	880
507	906	877
508	907	875
509	908	872
510	909	870
511	910	868
512	911	865
513	912	863
514	913	860
515	914	857
516	916	856
517	917	854
518	919	852
519	920	849
520	922	847
521	923	845
522	924	843
523	925	840
524	926	838
525	927	836
526	928	833
527	929	831
528	930	828
529	931	826
530	932	823
531	934	821
532	935	819
533	936	816
534	937	814
535	938	812
536	939	810
537	940	807
538	941	805
539	942	802
540	943	800
541	944	798
542	945	795
543	946	793
544	947	791
545	948	788
546	949	786
547	950	784
548	952	782
549	953	780
550	954	778
551	956	775
552	957	773
553	958	771
554	959	769
555	961	767
556	962	765
557	964	763
558	965	761
559	966	759
560	967	757
561	968	754
562	969	752
563	970	750
564	971	748
565	972	746
566	973	743
567	974	741
568	976	739
569	977	737
570	978	735
571	979	733
572	981	731
573	983	729
574	984	727
575	985	725
576	986	723
577	988	721
578	990	719
579	991	717
580	992	715
581	993	713
582	994	711
583	995	709
584	996	706
585	997	704
586	997	702
587	999	700
588	1000	697
589	1001	695
590	1002	693
591	1003	691
592	1004	689
593	1005	687
594	1006	685
595	1007	682
596	1008	680
597	1009	678
598	1010	676
599	1011	674
600	1012	672
601	1013	670
602	1014	667
603	1015	665
604	1017	664
605	1018	662
606	1019	660
607	1020	657
608	1021	655
609	1022	653
610	1024	651
611	1025	649
612	1025	647
613	1026	645
614	1027	643
615	1029	641
616	1030	639
617	1031	637
618	1032	635
619	1034	633
620	1035	631
621	1035	629
622	1036	627
623	1038	625
624	1038	623
625	1040	621
626	1041	619
627	1042	617
628	1043	615
629	1044	613
630	1045	611
631	1046	609
632	1047	607
633	1048	605
634	1049	603
635	1050	601
636	1052	599
637	1053	597
638	1056	596
639	1058	595
640	1059	593
641	1060	591
642	1061	589
643	1063	587
644	1064	586
645	1065	584
646	1066	582
647	1067	580
648	1069	578
649	1071	576
650	1072	575
651	1073	573
652	1074	571
653	1076	569
654	1077	567
655	1077	565
656	1078	563
657	1079	561
658	1081	559
659	1082	557
660	1083	555
661	1083	553
662	1084	551
663	1085	549
664	1087	547
665	1088	545
666	1089	543
667	1090	541
668	1091	539
669	1092	537
670	1094	536
671	1095	534
672	1096	532
673	1097	530
674	1099	529
675	1100	527
676	1101	525
677	1102	523
678	1103	521
679	1104	519
680	1105	517
681	1106	515
682	1107	514
683	1108	512
684	1109	510
685	1110	508
686	1111	506
687	1112	504
688	1113	502
689	1114	500
690	1115	498
691	1116	496
692	1117	495
693	1118	493
694	1119	491
695	1120	489
696	1121	487
697	1123	486
698	1124	484
699	1125	482
700	1126	480
701	1127	478
702	1129	477
703	1130	475
704	1131	473
705	1132	471
706	1133	469
707	1134	468
708	1136	466
709	1137	464
710	1138	462
711	1139	460
712	1140	459
713	1142	457
714	1143	455
715	1144	453
716	1145	451
717	1146	450
718	1148	448
719	1150	447
720	1151	445
721	1152	443
722	1154	442
723	1155	440
724	1156	438
725	1157	436
726	1158	435
727	1160	433
728	1161	431
729	1162	429
730	1162	427
731	1164	426
732	1165	424
733	1167	422
734	1168	421
735	1168	419
736	1169	417
737	1171	415
738	1172	414
739	1173	412
740	1174	410
741	1175	408
742	1177	407
743	1178	405
744	1179	403
745	1180	401
746	1181	400
747	1182	398
748	1183	396
749	1184	394
750	1185	393
751	1186	391
752	1187	389
753	1190	388
754	1191	386
755	1192	384
756	1193	383
757	1195	381
758	1196	379
759	1197	378
760	1198	376
761	1199	374
762	1200	372
763	1201	371
764	1202	369
765	1203	367
766	1204	365
767	1205	364
768	1206	362
769	1207	360
770	1208	359
771	1209	357
772	1210	355
773	1212	353
774	1213	352
775	1214	350
776	1215	348
777	1216	347
778	1217	345
779	1219	343
780	1220	342
781	1221	340
782	1222	338
783	1223	337
784	1225	335
785	1226	333
786	1227	332
787	1232	331
788	1233	329
789	1234	328
790	1236	326
791	1237	324
792	1238	323
793	1239	321
794	1240	319
795	1241	318
796	1243	316
797	1245	315
798	1246	313
799	1247	311
800	1249	310
801	1250	308
802	1251	306
803	1252	305
804	1253	303
805	1254	302
806	1255	300
807	1257	298
808	1259	297
809	1260	295
810	1261	294
811	1262	292
812	1263	290
813	1265	289
814	1266	287
815	1267	285
816	1268	284
817	1269	282
818	1270	280
819	1271	279
820	1272	277
821	1273	275
822	1274	274
823	1275	272
824	1277	270
825	1278	269
826	1279	267
827	1280	265
828	1281	264
829	1282	262
830	1284	261
831	1285	259
832	1286	257
833	1287	256
834	1288	254
835	1289	253
836	1291	251
837	1292	249
838	1293	248
839	1294	246
840	1296	245
841	1297	243
842	1298	241
843	1299	240
844	1301	238
845	1302	237
846	1303	235
847	1304	233
848	1305	232
849	1307	230
850	1308	229
851	1309	227
852	1310	225
853	1311	224
854	1312	222
855	1313	221
856	1314	219
857	1316	217
858	1316	216
859	1318	214
860	1319	213
861	1320	211
862	1321	209
863	1323	208
864	1324	206
